x, y, z
0, 0, 1
0.2, 0.198669331, 0.980066578
0.4, 0.389418342, 0.921060994
0.6, 0.564642473, 0.825335615
0.8, 0.717356091, 0.696706709
1, 0.841470985, 0.540302306
1.2, 0.932039086, 0.362357754
1.4, 0.98544973, 0.169967143
1.6, 0.999573603, -0.029199522
1.8, 0.973847631, -0.227202095
2, 0.909297427, -0.416146837
2.2, 0.808496404, -0.588501117
2.4, 0.675463181, -0.737393716
2.6, 0.515501372, -0.856888753
2.8, 0.33498815, -0.942222341
3, 0.141120008, -0.989992497
3.2, -0.058374143, -0.998294776
3.4, -0.255541102, -0.966798193
3.6, -0.442520443, -0.896758416
3.8, -0.611857891, -0.790967712
4, -0.756802495, -0.653643621
4.2, -0.871575772, -0.490260821
4.4, -0.951602074, -0.30733287
4.6, -0.993691004, -0.112152527
4.8, -0.996164609, 0.087498983
5, -0.958924275, 0.283662185
5.2, -0.883454656, 0.468516671
5.4, -0.772764488, 0.634692876
5.6, -0.631266638, 0.775565879
5.8, -0.464602179, 0.885519517
6, -0.279415498, 0.960170287
6.2, -0.083089403, 0.996542097
6.4, 0.116549205, 0.993184919
6.6, 0.311541364, 0.950232592
6.8, 0.494113351, 0.86939749
7, 0.656986599, 0.753902254
7.2, 0.793667864, 0.608351315
7.4, 0.898708096, 0.438547328
7.6, 0.967919672, 0.251259843
7.8, 0.998543345, 0.053955421
8, 0.989358247, -0.145500034
8.2, 0.940730557, -0.339154861
8.4, 0.854598908, -0.519288654
8.6, 0.734397098, -0.678720047
8.8, 0.584917193, -0.811093014
9, 0.412118485, -0.911130262
9.2, 0.222889914, -0.974843621
9.4, 0.024775425, -0.999693042
9.6, -0.174326781, -0.984687856
9.8, -0.366479129, -0.930426272
